name,cpu_brand,cpu_model,cpu_gen,gpu_brand,gpu_series,gpu_gen,ram_gb,rom_gb,reviews,price
"(AMD Ryzen 3 PRO 4350G, RAM 8 ГБ, SSD 256 ГБ, AMD Radeon, Windows 11 Pro), черный 31 декабря",AMD,OTHER_AMD,0,AMD,OTHER_AMD,0,8,256,0,149838
"Мощный игровой (Intel Xeon E5-2680V4, RAM 16 ГБ, SSD 512 ГБ, AMD Radeon RX 580 (8 Гб), Windows 11 Pr",INTEL,XEON,26,AMD,RX,580,16,512,315,330915
"Мощный игровой компьютер (AMD Ryzen 5 5500, RAM 16 ГБ, SSD 512 ГБ, NVIDIA GeForce GTX 1660 SUPER (6 ",AMD,RYZEN 5,55,NVIDIA,GTX,1660,16,512,606,383109
"Мощный игровой компьютер (AMD Ryzen 5 5500, RAM 16 ГБ, SSD 512 ГБ, AMD Radeon RX 580 (8 Гб), Windows",AMD,RYZEN 5,55,AMD,RX,580,16,512,606,345173
"(Intel Core i7-8700, RAM 16 ГБ, SSD 256 ГБ, AMD Radeon RX 580 (8 Гб), ), черный 4.3 9 отзывов 1 янва",INTEL,I7,8,AMD,RX,580,16,256,9,267614
"Мощный игровой компьютер (AMD Ryzen 5 5500, RAM 16 ГБ, SSD 512 ГБ, NVIDIA GeForce GTX 1660 SUPER (6 ",AMD,RYZEN 5,55,NVIDIA,GTX,1660,16,512,606,397131
"(Intel Core i5-12400F, RAM 16 ГБ, SSD 512 ГБ, NVIDIA GeForce RTX 4060 (8 Гб), ), белый 25 декабря",INTEL,I5,12,NVIDIA,RTX,4060,16,512,0,422847
"(Intel Core i5-12400F, RAM 16 ГБ, SSD 1024 ГБ, NVIDIA GeForce RTX 3060 (12 Гб), Windows 11 Pro), чер",INTEL,I5,12,NVIDIA,RTX,3060,16,1024,33,612757
"Chili Peppers (AMD Ryzen 5 7500F, RAM 32 ГБ, SSD 960 ГБ, NVIDIA GeForce RTX 3060 (12 Гб), Windows 10",AMD,RYZEN 5,75,NVIDIA,RTX,3060,32,960,233,692865
"310SC (Intel Core i5-12400, RAM 16 ГБ, SSD 512 ГБ, Intel UHD Graphics 730, Windows 11 Pro), 1969065,",INTEL,I5,12,INTEL,INTEGRATED_INTEL,0,16,512,9,282140
"Игровой компьютер (AMD Ryzen 5 5600, RAM 16 ГБ, SSD 1000 ГБ, NVIDIA GeForce RTX 5060 (8 Гб), Windows",AMD,RYZEN 5,56,NVIDIA,RTX,5060,16,1000,17,488695
"Игровой компьютер (Intel Core i5-14400F, RAM 16 ГБ, SSD 512 ГБ, NVIDIA GeForce RTX 4060 (8 Гб), Wind",INTEL,I5,14,NVIDIA,RTX,4060,16,512,14,610745
"Для игр и учебы с монитором 24"" (Intel Xeon E5-2670V2, RAM 16 ГБ, SSD 512 ГБ, AMD Radeon RX 580 (8 Г",INTEL,XEON,26,AMD,RX,580,16,512,151,491616
"(Intel Core i7-12700F, RAM 32 ГБ, SSD 1000 ГБ, NVIDIA GeForce RTX 5070 (12 Гб), ), белый 25 декабря",INTEL,I7,12,NVIDIA,RTX,5070,32,1000,0,883510
"(AMD Ryzen 5 5600G, RAM 16 ГБ, SSD 480 ГБ, AMD Radeon Vega 7, Без ОС) 4.9 10 отзывов 1 января",AMD,RYZEN 5,56,AMD,OTHER_AMD,0,16,480,10,283466
"(Intel Core i3-3240, RAM 8 ГБ, SSD 240 ГБ, HDD 500 ГБ, Intel Graphics, ), черный 2 января",INTEL,I3,3,INTEL,INTEGRATED_INTEL,0,8,240,0,47690
"Planio 310H6SEV (Intel Core i3-12100, RAM 8 ГБ, SSD 256 ГБ, Intel UHD Graphics 730, Без ОС), 2112567",INTEL,I3,12,INTEL,INTEGRATED_INTEL,0,8,256,56,197760
"Lenovo m79 (AMD PRO A8-8650B, RAM 16 ГБ, HDD 500 ГБ, AMD Radeon R7, Windows 10 Pro), черно-серый 4.6",AMD,OTHER_AMD,0,AMD,OTHER_AMD,0,16,0,635,67487
"GAMER (Intel Xeon E5-2670V3, RAM 32 ГБ, SSD 1000 ГБ, NVIDIA GeForce RTX 4060 (8 Гб), Windows 10 Pro)",INTEL,XEON,26,NVIDIA,RTX,4060,32,1000,14,446245
"Tactio 310H6AE (Intel Core i5-13400F, RAM 16 ГБ, SSD 1024 ГБ, NVIDIA GeForce RTX 5060 (8 Гб), Без ОС",INTEL,I5,13,NVIDIA,RTX,5060,16,1024,98,510134
"Игровой компьютер (Intel Xeon E5-2650V3, RAM 64 ГБ, SSD 1024 ГБ, NVIDIA GeForce RTX 4060 (8 Гб), Win",INTEL,XEON,26,NVIDIA,RTX,4060,64,1024,747,645736
"Малыш PLUS (Intel Xeon E5-2670V2, RAM 32 ГБ, SSD 640 ГБ, NVIDIA GeForce GTX 1660 SUPER (6 Гб), Windo",INTEL,XEON,26,NVIDIA,GTX,1660,32,640,0,314375
"(Intel Core i3-2100, RAM 8 ГБ, SSD 240 ГБ, Intel HD Graphics 2000, Windows), черный матовый 5.0 25 о",INTEL,I3,2,INTEL,INTEGRATED_INTEL,0,8,240,25,100379
"Tactio 310H6SEA (Intel Core i5-12400F, RAM 16 ГБ, SSD 512 ГБ, NVIDIA GeForce RTX 3050 (8 Гб), Без ОС",INTEL,I5,12,NVIDIA,RTX,3050,16,512,98,404127
"Мощный игровой компьютер (AMD Ryzen 5 5500, RAM 16 ГБ, SSD 512 ГБ, NVIDIA GeForce GTX 1660 SUPER (6 ",AMD,RYZEN 5,55,NVIDIA,GTX,1660,16,512,606,382956
"Игровой компьютер  (AMD Ryzen 5 5600, RAM 16 ГБ, SSD 512 ГБ, NVIDIA GeForce RTX 4060 (8 Гб), Windows",AMD,RYZEN 5,56,NVIDIA,RTX,4060,16,512,955,535153
"Planio 310H6SEV (Intel Core i3-13100, RAM 8 ГБ, SSD 256 ГБ, Intel UHD Graphics 730, Без ОС), 2113498",INTEL,I3,13,INTEL,INTEGRATED_INTEL,0,8,256,56,195180
"Chili Peppers (Intel Core i5-13400F, RAM 16 ГБ, SSD 512 ГБ, NVIDIA GeForce RTX 4060 (8 Гб), Windows ",INTEL,I5,13,NVIDIA,RTX,4060,16,512,0,748201
"Мощный игровой компьютер (AMD Ryzen 5 5500, RAM 16 ГБ, SSD 1024 ГБ, NVIDIA GeForce GTX 1660 SUPER (6",AMD,RYZEN 5,55,NVIDIA,GTX,1660,16,1024,606,390435
"(AMD Ryzen 5 7500F, RAM 32 ГБ, SSD 1024 ГБ, NVIDIA GeForce RTX 5060 Ti (16 Гб), Windows 11 Pro), чер",AMD,RYZEN 5,75,NVIDIA,RTX,5060,32,1024,115,1093252
"Альфа D6 (AMD Ryzen 7 7800X3D, RAM 32 ГБ, SSD 1000 ГБ, NVIDIA GeForce RTX 5070 Ti (16 Гб), Windows 1",AMD,RYZEN 7,78,NVIDIA,RTX,5070,32,1000,104,1805126
"Demolition (Intel Xeon E5-2650V3, RAM 16 ГБ, SSD 512 ГБ, NVIDIA GeForce RTX 2060 SUPER (8 Гб), Windo",INTEL,XEON,26,NVIDIA,RTX,2060,16,512,87,328605
"(Intel Core i7-12700F, RAM 32 ГБ, SSD 1000 ГБ, NVIDIA GeForce RTX 4070 (12 ГБ), ), белый 25 декабря",INTEL,I7,12,NVIDIA,RTX,4070,32,1000,0,708508
"Игровой компьютер GTX 1660 SUPER 6GB (Intel Xeon E5-2650V2, RAM 32 ГБ, SSD 512 ГБ, NVIDIA GeForce GT",INTEL,XEON,26,NVIDIA,GTX,1660,32,512,323,349650
"Chili Peppers (Intel Xeon E5-2650V3, RAM 16 ГБ, SSD 512 ГБ, NVIDIA GeForce GTX 1660 SUPER (6 Гб), Wi",INTEL,XEON,26,NVIDIA,GTX,1660,16,512,233,280249
"Игровой компьютер  (Intel Core i5-12400F, RAM 16 ГБ, SSD 512 ГБ, NVIDIA GeForce RTX 4060 (8 Гб), Win",INTEL,I5,12,NVIDIA,RTX,4060,16,512,753,582038
"(Intel Core i7-3770, RAM 16 ГБ, SSD 512 ГБ, Intel HD Graphics 4000, Windows 10 Pro), черный матовый ",INTEL,I7,3,INTEL,INTEGRATED_INTEL,0,16,512,6,161296
"Игровой компьютер (Intel Core i7-7700, RAM 32 ГБ, SSD 512 ГБ, AMD Radeon RX 580 (8 Гб), Windows 10 P",INTEL,I7,7,AMD,RX,580,32,512,747,325894
"(Intel Core i7-8700, RAM 16 ГБ, SSD 512 ГБ, AMD Radeon RX 580 (8 Гб), Windows 11 Pro), черный 4.3 9 ",INTEL,I7,8,AMD,RX,580,16,512,9,301181
"(Intel Xeon E5-2650V3, RAM 16 ГБ, SSD 512 ГБ, NVIDIA GeForce GTX 1650 (4 Гб), Windows 10 Pro), черны",INTEL,XEON,26,NVIDIA,GTX,1650,16,512,87,249045
"(AMD Ryzen 7 7800X3D, RAM 32 ГБ, SSD 1000 ГБ, NVIDIA GeForce RTX 5080 (16 Гб), ), черный 25 декабря",AMD,RYZEN 7,78,NVIDIA,RTX,5080,32,1000,0,1344973
"(AMD Ryzen 5 7500F, RAM 32 ГБ, SSD 256 ГБ, NVIDIA GeForce RTX 4060 (8 Гб), Windows 11 Pro), черный 4",AMD,RYZEN 5,75,NVIDIA,RTX,4060,32,256,33,928818
"(AMD Ryzen 5 7500F, RAM 16 ГБ, SSD 512 ГБ, NVIDIA GeForce RTX 5070 (12 Гб), Windows 11 Pro), черный ",AMD,RYZEN 5,75,NVIDIA,RTX,5070,16,512,33,1102289
"Игровой компьютер (AMD Ryzen 5 3600, RAM 16 ГБ, SSD 512 ГБ, NVIDIA GeForce RTX 4060 (8 Гб), Windows ",AMD,RYZEN 5,36,NVIDIA,RTX,4060,16,512,330,536350
"Fanatic (Intel Xeon E5-2650V3, RAM 16 ГБ, SSD 512 ГБ, NVIDIA GeForce RTX 2060 (6 Гб), Windows 10 Pro",INTEL,XEON,26,NVIDIA,RTX,2060,16,512,7,313514
"Игровой компьютер StormGames I7-10700 (Intel Core i7-10700, RAM 16 ГБ, SSD 1000 ГБ, AMD Radeon RX 66",INTEL,I7,10,AMD,RX,6600,16,1000,0,439201
"(Intel Core i5-12400F, RAM 32 ГБ, SSD 1024 ГБ, NVIDIA GeForce RTX 5060 (8 Гб), Windows 10 Pro), черн",INTEL,I5,12,NVIDIA,RTX,5060,32,1024,115,762924
"Chili Peppers (Intel Xeon E5-2650V3, RAM 32 ГБ, SSD 960 ГБ, NVIDIA GeForce RTX 3060 (12 Гб), Windows",INTEL,XEON,26,NVIDIA,RTX,3060,32,960,233,450484
"Игровой компьютер (AMD Ryzen 5 3600, RAM 16 ГБ, SSD 512 ГБ, NVIDIA GeForce RTX 5060 (8 Гб), Windows ",AMD,RYZEN 5,36,NVIDIA,RTX,5060,16,512,955,571287
"(Intel Xeon E5-2650V3, RAM 32 ГБ, SSD 960 ГБ, NVIDIA GeForce RTX 3060 Ti (8 Гб), Windows 10 Pro), че",INTEL,XEON,26,NVIDIA,RTX,3060,32,960,87,453576
"Demolition (Intel Xeon E5-2650V3, RAM 32 ГБ, SSD 960 ГБ, NVIDIA GeForce RTX 2060 (6 Гб), Windows 10 ",INTEL,XEON,26,NVIDIA,RTX,2060,32,960,87,368918
"M79 mATX (AMD A10-7800, RAM 8 ГБ, SSD 256 ГБ, AMD Radeon R7, Windows 10 Pro), черный 2.0 1 отзыв 2 я",AMD,OTHER_AMD,0,AMD,OTHER_AMD,0,8,256,1,36728
"(Intel Core i5-14400F, RAM 32 ГБ, SSD 1024 ГБ, NVIDIA GeForce RTX 5060 Ti (8 Гб), Windows 11 Pro), ч",INTEL,I5,14,NVIDIA,RTX,5060,32,1024,115,904373
"(Intel Core i5-13400F, RAM 32 ГБ, SSD 1024 ГБ, NVIDIA GeForce RTX 5070 (12 Гб), Windows 11 Pro), чер",INTEL,I5,13,NVIDIA,RTX,5070,32,1024,115,1069809
"(Intel Core i7-4790, RAM 16 ГБ, SSD 480 ГБ, Intel HD Graphics 4600, Windows 10 Pro), черный матовый ",INTEL,I7,4,INTEL,INTEGRATED_INTEL,0,16,480,18,159011
"Intel i3-2100, RAM 4ГБ , SSD 120ГБ, Windows 10 Pro (Intel Core i3-2100, RAM 4 ГБ, SSD 120 ГБ, Intel ",INTEL,I3,2,INTEL,INTEGRATED_INTEL,0,4,120,7,61262
"Demolition (Intel Xeon E5-2650V3, RAM 16 ГБ, SSD 512 ГБ, NVIDIA GeForce GTX 1660 SUPER (6 Гб), Windo",INTEL,XEON,26,NVIDIA,GTX,1660,16,512,87,283995
"Игровой компьютер (Intel Core i5-12400F, RAM 32 ГБ, SSD 1000 ГБ, NVIDIA GeForce RTX 5060 (8 Гб), Win",INTEL,I5,12,NVIDIA,RTX,5060,32,1000,17,650106
"(AMD Ryzen 5 3600, RAM 32 ГБ, SSD 1024 ГБ, NVIDIA GeForce RTX 3060 Ti (8 Гб), Windows 11 Pro), черны",AMD,RYZEN 5,36,NVIDIA,RTX,3060,32,1024,33,620544
"компьютер офисный (Intel Core i7-4790, RAM 16 ГБ, SSD 1000 ГБ, Intel HD Graphics 4600, Windows 10 Pr",INTEL,I7,4,INTEL,INTEGRATED_INTEL,0,16,1000,9,169033
"Tactio 310H6AE (Intel Core i5-13400F, RAM 32 ГБ, SSD 1024 ГБ, NVIDIA GeForce RTX 5060 (8 Гб), Без ОС",INTEL,I5,13,NVIDIA,RTX,5060,32,1024,98,661340
"Мощный игровой (Intel Xeon E5-2680V4, RAM 32 ГБ, SSD 1024 ГБ, NVIDIA GeForce RTX 3070 (8 Гб), Window",INTEL,XEON,26,NVIDIA,RTX,3070,32,1024,315,521696
"(Intel Core i7-3770, RAM 16 ГБ, SSD 240 ГБ, Intel HD Graphics 4000, Windows 10 Pro), черный матовый ",INTEL,I7,3,INTEL,INTEGRATED_INTEL,0,16,240,32,152425
"Chili Peppers (Intel Xeon E5-2650V3, RAM 16 ГБ, SSD 512 ГБ, NVIDIA GeForce GTX 1660 SUPER (6 Гб), Wi",INTEL,XEON,26,NVIDIA,GTX,1660,16,512,233,276647
"(Intel Core i7-3770, RAM 16 ГБ, SSD 480 ГБ, Intel HD Graphics 4000, Windows 10 Pro), черный матовый ",INTEL,I7,3,INTEL,INTEGRATED_INTEL,0,16,480,0,133679
"(Intel Pentium G4400, RAM 8 ГБ, SSD 256 ГБ, Intel HD Graphics 510, Без ОС), QRDP-S20K121P3318C125F02",INTEL,OTHER_INTEL,0,INTEL,INTEGRATED_INTEL,0,8,256,1,82057
"Малыш PLUS (Intel Xeon E5-2670V2, RAM 32 ГБ, SSD 512 ГБ, NVIDIA GeForce GTX 1050 Ti (4 Гб), Windows ",INTEL,XEON,26,NVIDIA,GTX,1050,32,512,48,250521
"Для игр и учебы с монитором 20"" (Intel Core i3-2100, RAM 8 ГБ, SSD 240 ГБ, Intel HD Graphics, Window",INTEL,I3,2,INTEL,INTEGRATED_INTEL,0,8,240,92,205431
"Игровой компьютер StormGames I7-10700 (Intel Core i7-10700, RAM 16 ГБ, SSD 1000 ГБ, NVIDIA GeForce R",INTEL,I7,10,NVIDIA,RTX,3060,16,1000,0,399343
"(AMD Ryzen 5 7500F, RAM 32 ГБ, SSD 1024 ГБ, NVIDIA GeForce RTX 5070 (12 Гб), Windows 11 Pro), черный",AMD,RYZEN 5,75,NVIDIA,RTX,5070,32,1024,10,1272866
"Игровой компьютер (AMD Ryzen 5 5600, RAM 16 ГБ, SSD 512 ГБ, NVIDIA GeForce RTX 4070 Ti (12 ГБ), Wind",AMD,RYZEN 5,56,NVIDIA,RTX,4070,16,512,14,840757
"(Intel Core i5-9400F, RAM 16 ГБ, SSD 512 ГБ, NVIDIA GeForce GTX 1650 (4 Гб), Windows), прозрачный 4.",INTEL,I5,9,NVIDIA,GTX,1650,16,512,5,302579
"Игровой компьютер (AMD Ryzen 5 5600, RAM 16 ГБ, SSD 1000 ГБ, NVIDIA GeForce RTX 5060 (8 Гб), Windows",AMD,RYZEN 5,56,NVIDIA,RTX,5060,16,1000,17,561035
"(Intel Core i5-14400F, RAM 32 ГБ, SSD 1024 ГБ, NVIDIA GeForce RTX 5060 (8 Гб), Windows 11 Pro), черн",INTEL,I5,14,NVIDIA,RTX,5060,32,1024,115,810152
"ПК с монитором (Intel Core i5-3470, RAM 16 ГБ, SSD 512 ГБ, Intel HD Graphics 2500, Windows), черный ",INTEL,I5,3,INTEL,INTEGRATED_INTEL,0,16,512,36,255540
"Colorful (Intel Xeon E5-2650V3, RAM 16 ГБ, SSD 512 ГБ, NVIDIA GeForce GTX 1660 SUPER (6 Гб), Windows",INTEL,XEON,26,NVIDIA,GTX,1660,16,512,25,274106
"Игровой компьютер StormGames I7-10700 (Intel Core i7-10700, RAM 16 ГБ, SSD 500 ГБ, NVIDIA GeForce RT",INTEL,I7,10,NVIDIA,RTX,4060,16,500,0,502678
"Chili Peppers (Intel Xeon E5-2650V3, RAM 16 ГБ, SSD 512 ГБ, NVIDIA GeForce RTX 2060 SUPER (8 Гб), Wi",INTEL,XEON,26,NVIDIA,RTX,2060,16,512,233,322353
"Малыш PLUS (Intel Xeon E5-2670V2, RAM 32 ГБ, SSD 512 ГБ, NVIDIA GeForce GTX 1660 SUPER (6 Гб), Windo",INTEL,XEON,26,NVIDIA,GTX,1660,32,512,0,314375
"Игровой компьютер GameSTORRM I7-10700 (Intel Core i7-10700, RAM 16 ГБ, SSD 1000 ГБ, NVIDIA GeForce R",INTEL,I7,10,NVIDIA,RTX,3060,16,1000,159,604497
"(Intel Core i7-12700F, RAM 32 ГБ, SSD 1024 ГБ, NVIDIA GeForce RTX 5060 (8 Гб), Windows 11 Pro), черн",INTEL,I7,12,NVIDIA,RTX,5060,32,1024,115,857233
"(Intel Core i3-2120, RAM Отсутствует, Intel HD Graphics 2000, Без ОС), черный 31 декабря",INTEL,I3,2,INTEL,INTEGRATED_INTEL,0,0,0,0,28092
"(Intel Core i5-12400F, RAM 32 ГБ, SSD 1024 ГБ, NVIDIA GeForce RTX 5060 Ti (8 Гб), Windows 11 Pro), ч",INTEL,I5,12,NVIDIA,RTX,5060,32,1024,115,857104
